is_post,publish_date,author,url,post_title,comment_count
1,"Tuesday, October 23, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/the-active-bird-catches-worm.html,The active bird catches the worm,2
1,"Sunday, October 21, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/science-is-fun-science-is-play.html,"Science is Fun, Science is Play",0
1,"Friday, October 19, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/performing-for-tedx-delft-salon.html,Performing for TEDx Delft Salon,1
1,"Wednesday, October 17, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/powerposing-to-boost-your-conference.html,Powerposing to boost your conference presence,0
1,"Monday, October 15, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/power-of-we.html,Power of We,0
1,"Saturday, October 13, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/what-i-learned-from-liveblogging.html,What I learned from liveblogging,0
1,"Thursday, October 11, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/kick-off-3tubouw.html,Kick-off 3TU.Bouw,2
1,"Tuesday, October 9, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/reading-loads-archiving-after-reading.html,Reading loads: Archiving after reading,0
1,"Monday, October 8, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/storify-of-3tubouw-kickoff.html,Storify of 3TU.Bouw kickoff,0
1,"Sunday, October 7, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/tedxdelft-livebloggers.html,TEDxDelft LiveBloggers,0
1,"Saturday, October 6, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/storify-on-tedxdelft.html,Storify on TEDxDelft,0
1,"Friday, October 5, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/tedxdelft-recap.html,TEDxDelft: a recap,2
1,"Thursday, October 4, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/liveblogging-at-tedxdelft.html,Liveblogging at TEDxDelft,0
1,"Wednesday, October 3, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/tedxdelft-salon-announcement.html,TEDxDelft Salon Announcement,0
1,"Tuesday, October 2, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/10/blogging-as-means-to-tackle-publication.html,Blogging as a means to tackle publication bias?,1
1,"Saturday, September 29, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/09/therion-les-fleurs-du-mal-review.html,Therion: Les Fleurs du Mal - Review,18
1,"Thursday, September 27, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/09/reading-loads-keeping-up-with-output.html,Reading loads: Keeping up with the output,0
1,"Tuesday, September 25, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/09/reading-loads-understanding-different.html,Reading loads: understanding different levels of reading,0
